epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
174,5880.47,0.4389,0.22837,0.90234,0.9102,0.90788,0.92783,0.72521,0.50479,0.24901,0.89312,0.0014365,0.0014365,0.0014365
175,5913.99,0.4368,0.22803,0.90049,0.91112,0.90795,0.92779,0.72523,0.50477,0.24873,0.89292,0.001387,0.001387,0.001387
176,5947.58,0.43588,0.22812,0.90121,0.90967,0.90813,0.92779,0.72548,0.5047,0.24857,0.89285,0.0013375,0.0013375,0.0013375
177,5981.26,0.43539,0.22693,0.90025,0.90831,0.90805,0.92916,0.72588,0.50466,0.24869,0.89267,0.001288,0.001288,0.001288
178,6015.07,0.4401,0.22896,0.90043,0.90873,0.90804,0.92914,0.72643,0.50461,0.24851,0.89243,0.0012385,0.0012385,0.0012385
179,6048.65,0.43341,0.22551,0.89921,0.90861,0.90817,0.92934,0.72639,0.50478,0.24877,0.89226,0.001189,0.001189,0.001189
180,6082.28,0.43282,0.22397,0.89859,0.90815,0.90783,0.92851,0.72708,0.50468,0.24861,0.89186,0.0011395,0.0011395,0.0011395
181,6115.8,0.43194,0.22334,0.90125,0.91143,0.9076,0.92935,0.72614,0.50462,0.24876,0.8918,0.00109,0.00109,0.00109
182,6149.35,0.43313,0.22506,0.90093,0.91542,0.90647,0.9293,0.72598,0.50477,0.24896,0.89192,0.0010405,0.0010405,0.0010405
183,6183.02,0.42947,0.22356,0.89698,0.90819,0.90617,0.92871,0.72555,0.50481,0.2496,0.89195,0.000991,0.000991,0.000991
