epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,20261.3,0.78175,0.48356,0.99523,0.90576,0.88288,0.92697,0.72798,0.89587,0.50046,1.10419,0.00307,0.00307,0.00307
142,20402.5,0.78092,0.48002,0.99483,0.90658,0.88259,0.92694,0.72748,0.89656,0.50092,1.10466,0.0030205,0.0030205,0.0030205
143,20543.6,0.77921,0.48101,0.99458,0.90702,0.88131,0.92634,0.72749,0.89638,0.50074,1.10458,0.002971,0.002971,0.002971
144,20684.6,0.77937,0.48031,0.99459,0.90603,0.88247,0.92507,0.72729,0.89657,0.50161,1.10476,0.0029215,0.0029215,0.0029215
145,20825.8,0.77232,0.47546,0.99071,0.90733,0.8816,0.92524,0.72767,0.89701,0.50173,1.10555,0.002872,0.002872,0.002872
146,20967,0.77412,0.47745,0.99336,0.90791,0.88206,0.92513,0.72696,0.89645,0.50205,1.10509,0.0028225,0.0028225,0.0028225
147,21108.5,0.76908,0.47481,0.9894,0.90632,0.8831,0.925,0.72694,0.89652,0.5016,1.10547,0.002773,0.002773,0.002773
148,21250.3,0.77261,0.47546,0.9899,0.90983,0.88113,0.92473,0.72719,0.89681,0.50169,1.10595,0.0027235,0.0027235,0.0027235
149,21391.5,0.76612,0.47069,0.98803,0.92145,0.87182,0.92488,0.72694,0.8971,0.50249,1.10651,0.002674,0.002674,0.002674
150,21534.9,0.76625,0.46994,0.98878,0.9186,0.8733,0.92436,0.72703,0.89742,0.50251,1.10695,0.0026245,0.0026245,0.0026245
151,21678.5,0.76647,0.4702,0.98883,0.91972,0.87241,0.92408,0.72684,0.89764,0.50281,1.1074,0.002575,0.002575,0.002575
152,21821.7,0.76427,0.46616,0.98696,0.91977,0.87185,0.92411,0.72722,0.89776,0.50398,1.10763,0.0025255,0.0025255,0.0025255
153,21964.9,0.76144,0.46343,0.98352,0.9202,0.86917,0.92325,0.72659,0.89782,0.50537,1.10768,0.002476,0.002476,0.002476
154,22108.6,0.75843,0.46466,0.98559,0.9179,0.87065,0.92351,0.7266,0.89812,0.5064,1.10772,0.0024265,0.0024265,0.0024265
155,22252.2,0.7568,0.46358,0.98466,0.92448,0.86621,0.92428,0.7269,0.89794,0.50599,1.10741,0.002377,0.002377,0.002377
156,22395.9,0.75289,0.45814,0.98108,0.92452,0.86588,0.92399,0.72601,0.89814,0.50564,1.10784,0.0023275,0.0023275,0.0023275
157,22539.7,0.75291,0.46172,0.9831,0.90685,0.88016,0.92347,0.72622,0.89778,0.50575,1.10792,0.002278,0.002278,0.002278
158,22683.4,0.74926,0.45662,0.97915,0.90805,0.87964,0.92238,0.7263,0.8976,0.50633,1.10794,0.0022285,0.0022285,0.0022285
159,22827.3,0.75107,0.457,0.9808,0.90793,0.88036,0.92222,0.72616,0.89733,0.507,1.10778,0.002179,0.002179,0.002179
160,22971.2,0.74708,0.45539,0.97773,0.90885,0.8804,0.92252,0.7269,0.89708,0.50738,1.10778,0.0021295,0.0021295,0.0021295
161,23114.7,0.74602,0.45316,0.98051,0.90857,0.88033,0.92241,0.7277,0.8972,0.50732,1.10775,0.00208,0.00208,0.00208
162,23258.1,0.74036,0.451,0.97794,0.90845,0.87923,0.92243,0.72731,0.89714,0.50719,1.1079,0.0020305,0.0020305,0.0020305
163,23401.5,0.74094,0.44999,0.97664,0.90797,0.87932,0.92178,0.72793,0.89717,0.5076,1.10765,0.001981,0.001981,0.001981
164,23544.9,0.73902,0.44781,0.97702,0.90886,0.87883,0.9213,0.72857,0.89728,0.5083,1.1078,0.0019315,0.0019315,0.0019315
165,23688.8,0.73786,0.44784,0.97469,0.90965,0.87862,0.92064,0.72808,0.89703,0.50903,1.10789,0.001882,0.001882,0.001882
166,23831.9,0.73474,0.44369,0.97476,0.92628,0.86224,0.92032,0.72688,0.89725,0.50928,1.10803,0.0018325,0.0018325,0.0018325
167,23975.7,0.73275,0.44107,0.97458,0.9251,0.86387,0.92032,0.72644,0.89721,0.50901,1.10794,0.001783,0.001783,0.001783
168,24119,0.7298,0.44169,0.97021,0.91632,0.87142,0.92008,0.72644,0.89735,0.50929,1.10805,0.0017335,0.0017335,0.0017335
169,24262.3,0.72982,0.4398,0.97395,0.91074,0.87819,0.91954,0.72587,0.8977,0.50936,1.10819,0.001684,0.001684,0.001684
170,24405.9,0.72741,0.4357,0.97028,0.91215,0.87561,0.91941,0.72559,0.89793,0.50996,1.10871,0.0016345,0.0016345,0.0016345
171,24549.5,0.72488,0.43696,0.96873,0.9138,0.87463,0.91875,0.72608,0.89801,0.51061,1.10902,0.001585,0.001585,0.001585
